"id","user_id","asc_standard","status","words_count","actual_credits","billed_credits","completed_at","price_tier","memo_id","memo_uuid","api_cost","final_charged_credits","started_at","duration_seconds","file_count","tier_name","error_code","error_message","model_used"
"6","6","ASC 606","completed","519",,"95.00","""2025-09-13T23:33:34.384Z""",,,"091a82a1","0.00","95.00","""2025-09-13T23:31:59.516Z""","92","1","3K 10 pages",,,"gpt-4o"
"7","6","ASC 606","completed","519",,"95.00","""2025-09-14T00:22:51.833Z""",,,"3afc388f","0.00","95.00","""2025-09-14T00:21:13.440Z""","95","1","3K 10 pages",,,"gpt-4o"
"8","6","ASC 606","completed","519",,"95.00","""2025-09-14T00:30:24.720Z""",,,"e9b2d179","0.00","95.00","""2025-09-14T00:29:12.913Z""","71","1","3K 10 pages",,,"gpt-4o"
"9","6","ASC 606","completed","12935",,"395.00","""2025-09-14T01:34:38.937Z""",,,"584b4597","0.00","395.00","""2025-09-14T01:31:58.430Z""","157","3","15K 50 pages",,,"gpt-4o"
"10","6","ASC 606","completed","519",,"95.00","""2025-09-14T02:34:15.093Z""",,,"15983397","0.00","95.00","""2025-09-14T02:32:42.260Z""","90","1","3K 10 pages",,,"gpt-4o"
