"id","user_id","asc_standard","status","words_count","billed_credits","completed_at","memo_uuid","est_api_cost","final_charged_credits","started_at","duration_seconds","file_count","tier_name","error_code","error_message","model_used"
"6","6","ASC 606","completed","519","95.00","""2025-09-13T23:33:34.384Z""","091a82a1","0.00","95.00","""2025-09-13T23:31:59.516Z""","92","1","3K 10 pages",,,"gpt-4o"
"7","6","ASC 606","completed","519","95.00","""2025-09-14T00:22:51.833Z""","3afc388f","0.00","95.00","""2025-09-14T00:21:13.440Z""","95","1","3K 10 pages",,,"gpt-4o"
"8","6","ASC 606","completed","519","95.00","""2025-09-14T00:30:24.720Z""","e9b2d179","0.00","95.00","""2025-09-14T00:29:12.913Z""","71","1","3K 10 pages",,,"gpt-4o"
"9","6","ASC 606","completed","12935","395.00","""2025-09-14T01:34:38.937Z""","584b4597","0.00","395.00","""2025-09-14T01:31:58.430Z""","157","3","15K 50 pages",,,"gpt-4o"
"10","6","ASC 606","completed","519","95.00","""2025-09-14T02:34:15.093Z""","15983397","0.00","95.00","""2025-09-14T02:32:42.260Z""","90","1","3K 10 pages",,,"gpt-4o"
"11","6","ASC 842","completed","576","95.00","""2025-09-14T04:06:41.512Z""","17973c9d","0.00","95.00","""2025-09-14T04:05:44.028Z""","57","1","Unknown",,,"gpt-4o"
